Address,ROI,Win Rate,Upside Capture,Downside Capture,Frequency,Sharpe Ratio,Sortino Ratio,Median Volume,Median PnL,Sum PnL
0x762ab7c7c71772a195baec1e964c0584c3adebf4,0.0155457,51.63398693,51.63398693,48.36601307,153,-0.019763048,-0.025731736,22560.53046,1.882440472,-25258.81549
0x76b60dcf71da2294f8aa034432d925d1eed8cf68,0.104349542,63.36633663,63.36633663,36.63366337,101,0.138890887,0.201249902,4964.172889,6.490377803,2183.750322
0x792ed4deedb1a99938f73df7c4764073b4f59e2a,-0.139281957,29.41176471,29.41176471,70.58823529,68,0.011194216,0.027438113,3000.521493,-3.807900618,71.55409128
0x793f7972c557ed5aaf71c078e6d160b51d464241,-0.501120928,37.28813559,37.28813559,62.71186441,59,0.090280022,0.388134954,7988.885247,-10.3904746,378.6422657
0x797a63cf969529e9083aea6239b7014988c6a5dc,-0.274377149,42.0131291,42.0131291,57.76805252,457,-0.013390557,-0.030738532,348307.5288,-304.4479127,273867.2995
0x7a587eb03f9c27046ba8086da2b891b2d016b463,-0.222023446,42.85714286,42.85714286,57.14285714,70,-0.131225129,-0.280385766,24686.08032,-15.6677,-50.49910214
0x7ba98ca30eedcf01b862f6dad5884f7ddea52ac9,-0.037447173,42.46575342,42.46575342,56.16438356,73,-0.228933269,-0.263742039,286199.437,-96.27695,-24794.51347
0x7bb85b553c04cf2dfcbbdac998ea3621e17236c3,0.044971661,51.47058824,51.47058824,48.52941176,68,0.113502045,0.216333405,7037.58288,2.487277348,20042.30864
0x7cf65eeb14423452a2919325128567712e2b5449,-0.512004704,36.23853211,36.23853211,63.76146789,218,-0.037459788,-0.053964589,3332.678719,-6.848689154,-73.03911436
0x7d0ce9bb923233868b8dff5ad4b20bc4a11e85bc,-0.341318962,41.07142857,41.07142857,58.92857143,56,-0.271433191,-0.39955454,5022.772395,-8.88577,-603.0545414
0x7d6fc0ee4aa797e091fb1f67bbb016b0dc5820fe,-0.019611338,49.64539007,49.64539007,50.35460993,705,-0.036524829,-0.055321972,963.2030984,-0.063725246,-837.0225354
0x83742faddde0b5b2b307ac46f24a1c118d332549,-0.210918548,36.76470588,36.76470588,63.23529412,680,0.029416839,0.071968932,19318.23733,-30.5968572,4883.726686
0x83d1832718848e9afa6a7a3d28046db7af3ed28e,0.060202564,51.30784708,51.30784708,48.28973843,497,0.126226523,0.281122927,894.5213203,0.263415987,-1151.111876
0x85285cf2156af7f3cbc23d8c2c764d1199805a46,-0.336920659,45.3125,45.3125,54.6875,64,-0.148463567,-0.392006468,11137.48894,-6.978695186,-958.8750785
0x854c35824af0d4481da06f094e20689c60924b45,0.178285995,51.32275132,51.32275132,48.67724868,189,0.022514,0.136718116,531514.6837,119.3283196,-139921.3908
0x879dcf4a359b1a3fc56706d0a660e873239431e4,-0.221269063,27.53623188,27.53623188,72.46376812,69,-0.243586591,-0.506240163,6694.425646,-15.13262,-1015.136849
0x8820807256c96b0938ba7e26720a4f53411bcaf0,-0.131203527,38.79310345,38.79310345,61.20689655,116,0.057677527,0.135059146,7926.6838,-9.519105226,-1841.965861
0x887a5c67d4dd51965845c1b668c1faa183739ad0,-0.312683392,31.74603175,31.74603175,68.25396825,63,-0.157689964,-0.294955954,213699.4627,-181.96452,16398.12538
0x88bf5a2e82510847e5dcbf33f44a9f611f1c1df5,-0.118153032,35.0877193,35.0877193,64.9122807,57,0.032882431,0.063377928,10371.72584,-10.23498,183.5249192
0x88d6da44ee656e1187077bd9d0ca3a510a1618e6,0.553791184,60.71428571,60.71428571,39.28571429,56,0.025349282,0.031911344,9409.505715,35.20152,1268.197992
0x8bace3a49a375027868cdd34e84521eed1f1b01d,0.136510215,61.11111111,61.11111111,38.88888889,72,0.041762226,0.052585862,8989.391738,6.829547284,-769.6013222
0x8be5290f8eb97759b01b686e538b974511bd8738,-0.312519532,36.36363636,36.36363636,63.63636364,55,-0.049930184,-0.199448808,6351.10476,-13.09948,483.8434
0x8cb8c8c50c0a6d3295a4d2955cb10e69e636bc80,0.220384329,53.93939394,53.93939394,46.06060606,165,-0.101600037,-0.106618993,11659.07391,4.973760224,16403.74071
0x8e5156d442114e8ad0078dafe4222fa275a89940,0.209830493,60.82474227,60.82474227,39.17525773,97,-0.040513685,-0.06050124,43961.83194,78.48786,-19318.54498
0x8f5bcd79c4849d44a820110167e4516ea57abdc9,0.444120483,89.0625,89.0625,10.9375,64,0.359288976,0.235097529,15894.30183,80.19668,6227.069505
0x8fbc89b8d9ed06f9454b8bd45277e64e1977693e,-0.465660297,21.62162162,21.62162162,78.37837838,111,-0.072055051,-0.146091032,3524.414239,-13.70103,1316.964386
0x9063c79fae0b6da6181916987ce940deeea130b9,-0.10470332,36.36363636,36.36363636,60,55,0.060120693,0.240395856,2809.032045,-2.5515,29.10100131
0x91d01f23e7092c1041bc02c9ce7a4d657c16eaf1,-0.149024402,36.02150538,36.02150538,63.44086022,186,-0.108282271,-0.113792663,1593.568261,-1.657804928,-91.36990275
0x91d6e260a5965a3c33d5bc4bf4adcf96c449ed2e,-0.256855546,29.91266376,29.91266376,69.75982533,916,0.000537367,0.001096951,27608,-35.85905759,-4935.091419
0x9224cf7956b8787f1e015349ba2937cef29215d8,-0.076923274,39.58333333,39.58333333,60.41666667,96,0.214887107,0.589309007,121538.0049,-94.06161,4691.67602
0x92c4317830af63462064b9b120f9c094ba428890,0.152496486,53.125,53.125,43.75,64,0.01858659,0.017839138,6032.35783,5.59553511,-1143.505774
0x93059a1683f5d250e739811ae783b06a6e89eeb2,-0.031643358,50,50,50,56,-0.114850073,-0.166006761,19615.62564,-1.49404,-3134.696656
0x938e5cfc2ddfeb817cf278421a85329a23e58d08,-0.998305111,35.18518519,35.18518519,64.81481481,54,-0.115266779,-0.877177711,561489.5544,-4523.795085,-203349.5471
0x94018e699a720cdcc24a01cff7d33c61cd54dc12,-0.20703425,37.94466403,37.94466403,62.05533597,253,-0.038888662,-0.087159179,1696.067422,-1.085111914,-177.0189423
0x962ee88dcf981354f616d6ae6325b8a8dbfc3410,0.162581832,54.59459459,54.59459459,45.40540541,185,-0.05046055,-0.044541229,8791.91905,6.423240554,-50614.63706
0x97de65d1757ce193f77e5aa0b9c2437a5ebabe45,-0.72217592,5.775075988,5.775075988,94.22492401,658,-0.011767016,-0.144871029,1534.74598,-10.648,-2824.043026
0x98fa1c3b0da1efacf3bdcc42486642f5bc03a7e2,-0.409207161,44.44444444,44.44444444,55.55555556,171,-0.114908371,-0.272688879,15624.91742,-2.587065087,9677.958071
0x99684635ac3c27588ffd7b0e45180c6b76cbbd1e,-0.612400133,26.42857143,26.42857143,73.57142857,140,-0.459040888,-1.67088862,3522.347674,-7.789274256,-933.1940105
0x999dc9f7521ccb57a994f2853137653433baa8c2,0.219444174,56.41025641,56.41025641,43.58974359,78,0.103405656,0.122688124,5479.22627,7.74526,449.97273
0x9a0c16cb8a9901b091f6643ddcae42707e8d53c0,-0.09905894,45.78313253,45.78313253,54.21686747,83,-0.11365243,-0.22951756,4943.627803,-6.260880374,-734.6896027
0x9ae7aec46d7f63e70cca93a7975a1489fc9629ea,-0.32404002,34.84848485,34.84848485,65.15151515,66,0.034187521,0.086079812,3801.426535,-5.109204999,-830.06098
0x9b0ece459246c56828a9a35f88aa9d5979015278,0.198675497,59.81308411,59.81308411,40.18691589,107,0.129147272,0.190831991,3008.349843,6.771737561,777.3915397
0x9cada6daf8fdf10ef4a69342983c7ce5bf4634b0,-0.162689898,47.34513274,47.34513274,52.65486726,226,-0.035240965,-0.068831045,945.9560687,-0.830455,-937.5809973
0x9d100f017095e53b24d81296bca1d26742f1800f,-0.306266396,31.48148148,31.48148148,68.51851852,108,-0.22892111,-0.354915444,18022.75124,-30.88224408,-2847.045679
0x9d9dadd9bd8982affb5a74018693692ac6d609bf,-1.458589068,44.44444444,44.44444444,55.55555556,81,-0.107424417,-0.150526501,7371.83257,-62.32000388,-4285.491514
0x9dbced00e4eb4c787069e21c93a4ed7c28c1e97e,-0.299850075,29.50428031,29.50428031,70.21700179,5023,-0.19909159,-0.36473568,1639.25516,-3.213298516,1479.122746
0x9e137ddc3857ac2c4f65dfaeac8f87773f964b59,-0.692360319,3.870967742,3.870967742,96.12903226,465,-0.091548077,-0.861948646,1488.848955,-10.313336,-1924.489382
0x9e7fed902c2569438b8d8c2e81bb482ea5a9d20c,-0.048870239,48.48484848,48.48484848,51.51515152,66,0.048922305,0.08123185,78009.8671,-22.497755,-12649.64544
0x9fab54e099ec1cbb5ce8836eb30e542a2d04c899,-0.28988539,46.53465347,46.53465347,53.46534653,101,0.084000157,0.167118383,1477.1328,-0.402710062,1030.147177
0xa0d884d99316d14d7727a6a9223a8266a4595468,0.12438721,53.8547486,53.8547486,46.03351955,895,-0.105022153,-0.142587698,3123.738437,2.01201,-5820.827252
0xa153cba146651801ad1f776b98ee164b49a50375,-0.461235792,32.63157895,32.63157895,67.36842105,95,-0.053117753,-0.079674357,3911.620562,-15.50952315,1175.913292
0xa184c3a2a95b0c06eb3f01eb02b51c7293b2f4f2,-0.151388994,29.35010482,29.35010482,70.44025157,477,-0.100731955,-0.174807007,2968.4724,-3.5289,141.33935
0xa1b92cc99ddaf17807130ed5c6999ce879f2f2dd,-0.250643544,36.06557377,36.06557377,63.93442623,61,-0.038577673,-0.075866784,8105.914148,-15.51595,-1121.886483
0xa24148f16330598aa0ffb43b832477d4f3513b37,0.126447828,60.13986014,60.13986014,38.46153846,143,-0.065688937,-0.052464137,2955.48048,3.32661,-1130.666229
0xa53fe806623b397fd77b08b1002069de4fbe5982,0.19759517,58.92857143,58.92857143,41.07142857,56,0.040759717,0.061335086,4221.43337,4.900469671,-278.2583723
0xa5cf9d9e6ad3d6eeb2fe1597acf37c94a1a20908,-0.43475898,46.11398964,46.11398964,53.88601036,193,-0.018999081,-0.046270335,2046.441396,-3.95802,-349.777551
0xac312d5d40a7e7df92d666fcf8aceee49f21c261,-0.114615267,44.91525424,44.91525424,55.08474576,118,-0.190988715,-0.262362604,114067.8551,-61.79988765,-44206.54168
0xacf3135d7aa0cc993ee4b2c1567ce8f12327236f,-0.814638489,21.42857143,21.42857143,78.02197802,182,-0.139682615,-0.467902176,4266.029185,-20.50139,-3109.934973
0xad215b7a7817e86dc5cb43a3f31d4704890bf40f,0.493016124,60.62992126,60.62992126,39.37007874,127,0.145326154,0.194602053,2314.9242,10.80816,-249.8541948
0xae7c3e970693db88195bf7d4523c356e25fe3f5d,0.039168833,50,50,50,84,-0.104396749,-0.100168584,59902.88883,10.16670439,-25761.54937
0xaea90572acd703fa8d6b72c2c2afbc83ed0e7272,0.447856686,81.96721311,81.96721311,18.03278689,61,0.13788653,0.127170619,89327.59342,408.7461,5655.536461
0xafe6b977fcf3c634cdcd2b324b799b31fb69d708,0.199613257,64.17910448,64.17910448,35.82089552,67,-0.047913583,-0.066371024,4784.2162,5.07732,-4926.627884
0xb2bf7d4f564532ddfcd0fd22c7a36dd23dc1ec63,-0.596231616,0.819672131,0.819672131,99.18032787,122,-0.460185572,-1.515383848,1504.167082,-10.87594728,-1286.526223
